Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-10-18,5283.05,5328.6,5225.56,5225.56,13073331
2023-10-19,5223.9,5223.9,5123.73,5136.98,10277395
2023-10-20,5126.25,5126.25,5034.37,5045.24,9901848
2023-10-23,5051.19,5056.44,5016.83,5035.45,13395253
2023-10-24,5040.73,5125.91,5040.73,5093.13,14341668
2023-10-25,5120.09,5173.67,5095.92,5153.16,9245334
2023-10-26,5117.49,5177.21,5095.24,5149.61,8230304
2023-10-27,5148.94,5170.19,5105.68,5106.49,7055765
2023-10-30,5121.08,5176.39,5121.08,5168.7,6487856
2023-10-31,5175.9,5196.72,5146.41,5167.24,10461534
2023-11-02,5183.81,5221.83,5158.13,5172.88,11391120
2023-11-03,5191,5257.98,5179.95,5244.41,9683145
2023-11-06,5250.55,5323.59,5250.55,5291.48,7454826
2023-11-07,5285.3,5290.3,5244.63,5251.87,8417848
2023-11-08,5252.88,5261.17,5204.83,5231.84,7210466
2023-11-09,5236.32,5280.98,5220.38,5280.98,9331974
2023-11-10,5283.86,5289.27,5221.14,5231.07,5757220
2023-11-13,5243.78,5255.93,5178.99,5178.99,7708539
2023-11-14,5190.92,5367.75,5190.92,5361.49,8919626
2023-11-15,5374.86,5410.57,5326.51,5333.29,10442331
2023-11-16,5340.74,5389.58,5327.54,5370.37,8038681
2023-11-17,5380.28,5410.3,5356.24,5395.8,6961652
2023-11-20,5393.87,5463.63,5391.35,5451.25,9411519
2023-11-21,5463.37,5506.8,5452.53,5494.9,8416237
2023-11-22,5498.66,5509.59,5467.26,5507.22,6069698
2023-11-23,5505.9,5563.44,5505.08,5534.84,6460708
2023-11-24,5544.08,5574.08,5517.31,5520.78,13012321
2023-11-27,5537.31,5557.59,5458.17,5512.11,11542416
2023-11-28,5510.12,5610.18,5509.05,5609.78,11505068
2023-11-29,5601.16,5609.97,5539.6,5571.54,18043685
2023-11-30,5559.86,5610.5,5530.84,5538.33,14322613
2023-12-01,5541.24,5652.51,5537.34,5644.39,12351254
2023-12-04,5647.36,5730.06,5647.36,5687.28,8522849
2023-12-05,5689.95,5768.84,5677.13,5728.67,10091290
2023-12-06,5735.46,5776.96,5723.71,5729.44,9251245
2023-12-07,5728.35,5728.35,5642.69,5677.61,9829330
2023-12-08,5676.52,5764.61,5676.52,5737.44,6661783
2023-12-11,5734.01,5794.6,5734.01,5768.84,7984686
2023-12-12,5776.1,5790.82,5719.37,5736.2,7430577
2023-12-13,5740.45,5747.43,5685.45,5718.92,6562524
2023-12-14,5745.61,5793.17,5745.61,5759.15,10998937
2023-12-15,5759.28,5884.5,5707.17,5759.63,17086848
2023-12-18,5778.8,5844.39,5778.8,5835.73,7522691
2023-12-19,5842.76,5887.56,5824.25,5879.55,8100385
2023-12-20,5884.94,5933.18,5870.87,5884.53,8176634
2023-12-21,5876.86,5880.79,5833.93,5880.79,8246652
2023-12-22,5874.07,5876.9,5844.89,5864.68,6787222
2023-12-27,5872.31,5883.49,5842.38,5847.11,11292429
2023-12-28,5849.55,5875.54,5836.06,5845.89,6761577
2023-12-29,5848.65,5853.96,5760.91,5785.21,8201503
